N_Samples,Classical_RBF_F1,Classical_RBF_ROC_AUC,Classical_RBF_Accuracy,Classical_Target_F1_N500,Quantum-ZZ (Linear)_F1,Quantum-ZZ (Linear)_Accuracy,Quantum-ZZ (Linear)_ROC_AUC,Quantum-ZZ (Linear)_Alignment,Quantum-ZZ (Linear)_Condition_Number,Quantum-ZZ (Linear)_Reached_Target,Quantum-ZZ (Full)_F1,Quantum-ZZ (Full)_Accuracy,Quantum-ZZ (Full)_ROC_AUC,Quantum-ZZ (Full)_Alignment,Quantum-ZZ (Full)_Condition_Number,Quantum-ZZ (Full)_Reached_Target,Quantum-CPMap_F1,Quantum-CPMap_Accuracy,Quantum-CPMap_ROC_AUC,Quantum-CPMap_Alignment,Quantum-CPMap_Condition_Number,Quantum-CPMap_Reached_Target
310,0.6024477667048589,0.5031981916991295,0.5126666666666667,0.5628986747114534,0.550089990752976,0.564,0.6012627112756964,0.05715443768632176,8.849297928926443,False,0.598247102063896,0.576,0.6086770586097034,0.05673929190794446,7.244395935722887,True,0.6176184926184926,0.5866666666666668,0.6242164831113035,0.015660996574382514,1783074.600121613,True
320,0.5902928657645639,0.5029603979971893,0.524,0.5628986747114534,0.5467324675133051,0.5546666666666666,0.5542543697932532,0.05505771615446734,12.715745193836497,False,0.5912494912494912,0.5720000000000001,0.5643723138110206,0.05539445958120106,7.389715747836887,True,0.5895722749310598,0.5586666666666668,0.597313732719879,0.01239532055309519,1132743.4140627247,True
330,0.5587346650408792,0.4925402245413788,0.5053333333333333,0.5628986747114534,0.5797256369700017,0.5700000000000001,0.601078354360709,0.055186317941246156,6.734515415075077,True,0.6121208651715823,0.5786666666666668,0.621356939722454,0.05448329978807873,6.908467000057212,True,0.6008191011808783,0.586,0.6230622485131213,0.014496678124828563,1564118.1306125692,True
340,0.6477164074714978,0.494923505239477,0.5366666666666667,0.5628986747114534,0.5623368094519234,0.5760000000000001,0.5954568043732666,0.05491018351685703,7.8417046313280006,False,0.6043718128974914,0.576,0.6117347702439755,0.05351460203323786,7.781659360754103,True,0.6228154591000047,0.6086666666666667,0.6373084959147577,0.014654654213258471,6310251.793697043,True
350,0.5992886542393024,0.502174877228982,0.5153333333333333,0.5628986747114534,0.5571846937594113,0.5586666666666668,0.5398905614603206,0.05291958774318809,7.729974893154109,False,0.6131345994956411,0.5853333333333333,0.6080997284409947,0.05348717879368783,7.798241551646822,True,0.61702139191188,0.588,0.6218225150558148,0.012657878805817193,3237276.019764499,True
360,0.5603708221700723,0.5054879580200601,0.502,0.5628986747114534,0.5659391453996073,0.5633333333333334,0.5817716432346356,0.05265335820090761,7.850315932543901,True,0.6018712223091786,0.5733333333333334,0.6098103363482797,0.05315657556922743,6.511720880497708,True,0.6091801387734527,0.588,0.6289429669172854,0.013518219517664172,8666666.586396016,True
370,0.5587451062548282,0.5115022683916061,0.5026666666666667,0.5628986747114534,0.5925350209360974,0.5793333333333334,0.5707048846566954,0.05213481731024924,18.589498072460145,True,0.6137938205585264,0.5826666666666668,0.6000171060790729,0.051771544758390166,8.183870175440783,True,0.6234112990367581,0.6106666666666666,0.654141083804913,0.0128734356084716,2810164.015793388,True
380,0.5608429791239348,0.513610349636897,0.506,0.5628986747114534,0.5497888903429374,0.5593333333333333,0.5947247203920122,0.05083011474600758,24.809428666975563,False,0.6188010790924611,0.6026666666666666,0.6480424230761006,0.051539369828456076,6.866789796610223,True,0.6252717052621084,0.6066666666666666,0.6464782485558709,0.013628343204219462,6127856.9074846795,True
390,0.5805463501263194,0.4861919342513774,0.504,0.5628986747114534,0.5666059069442316,0.572,0.6086316441964977,0.04999629801604811,8.529714568123717,True,0.6074971069598281,0.592,0.6288301580174055,0.05061496809963862,8.746218085047568,True,0.5950538354281639,0.5846666666666667,0.6337415903856534,0.010648877645626493,6063809.330523366,True
400,0.49296660071707327,0.5198544381923403,0.5013333333333333,0.5628986747114534,0.5867846033685238,0.5826666666666666,0.5988500403447742,0.049900344947329735,16.227235540716936,True,0.6136242133854345,0.5866666666666666,0.6022622789573845,0.04999421305205806,8.8151640486466,True,0.5939488463046548,0.5746666666666665,0.6219293886297205,0.014533928159783117,9322766.446750853,True
410,0.5992785079757995,0.49780107621688924,0.514,0.5628986747114534,0.5753152289339328,0.5640000000000001,0.5669402630158653,0.04879347829885191,10.836401537527705,True,0.6243741606664166,0.5973333333333333,0.6385271665918274,0.049048947624220206,8.969747300140694,True,0.6030075495120438,0.5966666666666667,0.635475614122274,0.014896202843250418,4892500.394390739,True
420,0.6548807622581537,0.4859194066379177,0.5306666666666667,0.5628986747114534,0.5774284155991033,0.5893333333333333,0.6142451786658972,0.04822642304277875,35.28216695073444,True,0.6047705947665992,0.5866666666666666,0.6243825774584643,0.04884315831247641,9.32682134305451,True,0.6113935426673122,0.5913333333333334,0.6288307496646842,0.010372601486766763,6357732.241942698,True
430,0.5665226852765332,0.5017687576481401,0.5033333333333333,0.5628986747114534,0.5815708740582879,0.5893333333333333,0.6240722037865306,0.04793511945622551,68.29807913064256,True,0.60952020091617,0.588,0.643081660144974,0.047950536530878295,9.636316598612654,True,0.5861369198307859,0.5806666666666667,0.6265329678257106,0.010102203358151375,6180557.836377525,True
440,0.5713446584077394,0.48801680052581803,0.504,0.5628986747114534,0.5595405315679497,0.5559999999999999,0.6018211256993541,0.04778231584636591,66.19035702031906,False,0.6127989657401423,0.5826666666666668,0.6315243654713795,0.04768117400544949,9.665566182644081,True,0.6037307251389911,0.584,0.6229340002244346,0.010861643598358998,8025168.839657076,True
450,0.6587887740029542,0.5040157745395085,0.538,0.5628986747114534,0.5549866284605972,0.5513333333333333,0.5882802438854956,0.04654613408922945,29.124947109673126,False,0.6217480674409513,0.596,0.6294395620843757,0.04679618808241768,9.8300851623724,True,0.6122097523219815,0.6046666666666667,0.6555812052132929,0.011979355365407014,9600829.625117263,True
460,0.5917013763893479,0.5049188562390121,0.52,0.5628986747114534,0.5973180935623094,0.5826666666666666,0.623537835917002,0.04742713093253498,16.18381117080087,True,0.6076182172888158,0.5866666666666666,0.6346034597044925,0.04637407896269389,10.179419226588832,True,0.6182468726435072,0.6073333333333334,0.646288547962188,0.01080546950652274,11718934.629986862,True
470,0.5954405090552353,0.5216632734306952,0.5133333333333333,0.5628986747114534,0.5826928153167966,0.574,0.6020722785980325,0.04736635508915194,22.179203947268235,True,0.5950245401754258,0.5706666666666665,0.6267988111275045,0.04592238018644099,10.001087753646463,True,0.6143333893950308,0.5986666666666666,0.6432880723747842,0.012419094397860321,16012028.488750594,True
480,0.5709478165415164,0.5124400840026291,0.5026666666666667,0.5628986747114534,0.5781130818404149,0.5826666666666666,0.6261134890481306,0.046539033101767414,16.33464872466093,True,0.6184576674664085,0.5906666666666666,0.633769538349691,0.04549775439092801,10.521227226211158,True,0.6418892793319334,0.6066666666666666,0.6451850783116112,0.012972438835144878,15496680.964114591,True
490,0.6028754170473288,0.5014908863559852,0.516,0.5628986747114534,0.5950059105279096,0.5926666666666667,0.6206495775821991,0.04511031696730842,33.31239289210199,True,0.611708703281737,0.5906666666666666,0.636624115294973,0.04511437914818774,10.65898709121106,True,0.6076850795712722,0.5973333333333333,0.6366645826319756,0.01227226074701114,17972601.220905576,True
500,0.5628986747114534,0.5089212715817824,0.5046666666666667,0.5628986747114534,0.5980943809395037,0.5906666666666666,0.625090174577983,0.045602060535515986,24.766786293976534,True,0.6352212775234358,0.5973333333333333,0.6366348065943934,0.04500241816375696,10.795004474469211,True,0.634064493349933,0.6226666666666666,0.6664823097516793,0.010454739727232305,30649194.742800012,True
